provider,kode_voucher,produk,harga
Indosat,KIVFIH0,Voucher Freedom Internet 5GB 1Hr,7250
Indosat,KIVFIH07,Voucher Freedom Internet 7GB 1Hr,8700
Indosat,KIVFIH03,Voucher Freedom Internet 6GB 2Hr,9715
Indosat,KIVFIH04,"Voucher Freedom Internet 3,5GB 3Hr",12550
Indosat,KIVFI0,Voucher Freedom Internet 4GB 5Hr,13700
Indosat,KIVFIH02,Voucher Freedom Internet 8GB 3Hr,12974
Indosat,KIVFH2,Voucher Freedom Internet 6GB 5Hr,15250
Indosat,KIVFIH2,Voucher Freedom Internet 9GB 5Hr,17550
Indosat,KIVFH1,Voucher Freedom Internet 9GB 7Hr,23350
Indosat,KIVFIH08,Voucher Freedom Internet 22GB 7Hr,28750
Indosat,KIVFI1,Voucher Freedom Internet 7GB 14Hr,21900
Indosat,KIVFI2,Voucher Freedom Internet 7GB 28Hr,33000
Indosat,KIVFI7,Voucher Freedom Internet 10GB 28Hr,37400
Indosat,KIVFI3,Voucher Freedom Internet 16GB 28Hr,45500
Indosat,KIVFI30,Voucher Freedom Internet 24GB 28Hr,53420
Indosat,KIVFI4,Voucher Freedom Internet 30GB 28Hr,65500
Indosat,KIVU2,"Voucher Freedom Unlimited 5,5GB 30Hr",37150
Indosat,KIVU3,Voucher Freedom Unlimited 10GB 30Hr,59450
Indosat,KIVU4,Voucher Freedom Unlimited 20GB 30Hr,83400
Indosat,KIVU5,Voucher Freedom Unlimited 35GB 30Hr,105600
Indosat,KIVU6,Voucher Freedom Unlimited 45GB 30Hr,117750
Indosat,KIVFC1,Voucher Freedom Combo 6GB 30Hr,38150
Indosat,KIVFC2,Voucher Freedom Combo 10GB 30Hr,50250
Indosat,KIVFC3,Voucher Freedom Combo 20GB 30Hr,75950
Three,KTVHM01,Voucher Tri Happy 6GB 1Hr,7820
Three,KTVHM02,Voucher Tri Happy 7GB 2Hr,10345
Three,KTVHM3,"Voucher Tri Happy 3,5GB 3Hr",12773
Three,KTVHM4,Voucher Tri Happy 8GB 3Hr,13100
Three,KTVHM03,Voucher Tri Happy 10GB 5Hr,17925
Three,KTVHM6,Voucher Tri Happy 11GB 5Hr,21057
Three,KTVHB01,Voucher Tri Happy 7GB 14Hr,22220
Three,KTVHB02,Voucher Tri Happy 10GB 14Hr,26625
Three,KTVHM10,Voucher Tri Happy 10GB 7Hr,23785
Three,KTVHB1,Voucher Tri Happy 7GB 28Hr,32980
Three,KTVHB2,Voucher Tri Happy 10GB 28Hr,37930
Three,KTVHB3,Voucher Tri Happy 16GB 28Hr,46065
Three,KTVHB4,Voucher Tri Happy 18GB 28Hr,50715
Three,KTVHB8,Voucher Tri Happy 24GB 28Hr,55160
Three,KTVHB5,Voucher Tri Happy 30GB 28Hr,64000
Three,KTVHB7,Voucher Tri Happy 42GB 28Hr,78190
Three,KTVAN01,Voucher Tri Aon 5GB,30100
Three,KTVAN1,Voucher Tri Aon 6GB,32575
Three,KTVAN2,Voucher Tri Aon 9GB,48135
Three,KTVAN3,Voucher Tri Aon 12GB,59805
By U,KBV4,Voucher By U 6GB 7Hr,13350
By U,KBV5,Voucher By U 8GB 14Hr,25650
Telkomsel,KSV011,Voucher Telkomsel 4GB 1Hr,7200
Telkomsel,KSV012,Voucher Telkomsel 5GB 1Hr,8750
Telkomsel,KSV002,Voucher Telkomsel 6GB 2Hr,10650
Telkomsel,KSV00,Voucher Telkomsel 5GB 3Hr,13250
Telkomsel,KSV1,Voucher Telkomsel 4GB 5Hr,13250
Telkomsel,KSV11,Voucher Telkomsel 6GB 5Hr,15100
Telkomsel,KSV020,Voucher Telkomsel 7GB 5Hr,17600
Telkomsel,KSV021,Voucher Telkomsel 9GB 5Hr,22500
Telkomsel,KSV2,Voucher Telkomsel 5GB 7Hr,19550
Telkomsel,KSV02,Voucher Telkomsel 9GB 7Hr,27450
Telkomsel,KSVH0,Voucher Telkomsel 5GB 14Hr,22550
Telkomsel,KSVH01,Voucher Telkomsel 7GB 14Hr,27500
Telkomsel,KSVH1,Voucher Telkomsel 7GB 28Hr,33350
Telkomsel,KSVH2,Voucher Telkomsel 10GB 28Hr,41250
Telkomsel,KSVH3,Voucher Telkomsel 18GB 28Hr,51100
Telkomsel,KSV7,Voucher Telkomsel 25GB 28Hr,63950
XL,KXVH11,Voucher Xl Paket Harian S 7Hr,18699
XL,KXVH12,Voucher Xl Paket Harian M 7Hr,22311
XL,KXVH13,Voucher Xl Paket Harian L 7Hr,28019
XL,KXVH14,Voucher Xl Paket Harian XL 7Hr,33803
XL,KXVH2,Voucher Xl Paket Harian S 10Hr,19655
XL,KXVH3,Voucher Xl Paket Harian M 10Hr,24129
XL,KXVBP2,Voucher Xl Bebas Puas 2K 7Hr,14773
XL,KXVBP1,Voucher Xl Bebas Puas 5K 2Hr,10996
XL,KXVM7,Voucher Xl Flex Max 7GB 28Hr,33100
XL,KXVM10,Voucher Xl Flex Max 10GB 28Hr,38000
XL,KXVM16,Voucher Xl Flex Max 16GB 28Hr,46456
XL,KXVM23,Voucher Xl Flex Max 23GB 28Hr,55644
XL,KXVM31,Voucher Xl Flex Max 31GB 28Hr,64588
XL,KXVM40,Voucher Xl Flex Max 40GB 28Hr,73303
XL,KXVM50,Voucher Xl Flex Max 50GB 28Hr,83500
XL,KXVM65,Voucher Xl Flex Max 65GB 28Hr,90500
XL,KXVCF001,Voucher Xl Flex Mini 6GB 2Hr,9850
XL,KXVCF01,Voucher Xl Flex Mini 4GB 3Hr,12943
XL,KXVCF03,Voucher Xl Flex Mini 6GB 3Hr,13849
XL,KXVCF02,Voucher Xl Flex Mini 4GB 7Hr,15482
XL,KXVCF04,Voucher Xl Flex Mini 6GB 7Hr,18731
XL,KXVM01,Voucher Xl Flex Mini 5GB 14Hr,19326
XL,KXVM02,Voucher Xl Flex Mini 7GB 14Hr,23431
AXIS,KAVM00,Voucher Axis Mini 6GB 1Hr,7726
AXIS,KAVM03,Voucher Axis Mini 5GB 2Hr,9741
AXIS,KAVM01,Voucher Axis Mini 3GB 3Hr,10675
AXIS,KAVM0,Voucher Axis Mini 5GB 3Hr,12443
AXIS,KAVM1,Voucher Axis Mini 4GB 5Hr,13832
AXIS,KAVM10,Voucher Axis Mini 5GB 5Hr,15585
AXIS,KAVM21,Voucher Axis Mini 3GB 7Hr,13826
AXIS,KAVM22,Voucher Axis Mini 4GB 7Hr,16685
AXIS,KAVM23,Voucher Axis Mini 6GB 7Hr,18169
AXIS,KAVM2,Voucher Axis Mini 10GB 7Hr,23727
AXIS,KAVM20,Voucher Axis Mini 3GB 14Hr,18400
AXIS,KAVM30,Voucher Axis Mini 5GB 14Hr,22740
AXIS,KAVM3,Voucher Axis Mini 8GB 14Hr,27976
AXIS,KAVM4,Voucher Axis Mini 25GB 14Hr,46000
AXIS,KAVB6,Voucher Axis Aigo 7GB 28Hr,33167
AXIS,KAVB2,Voucher Axis Aigo 10GB 28Hr,37967
AXIS,KAVB3,Voucher Axis Aigo 16GB 28Hr,46329
AXIS,KAVB4,Voucher Axis Aigo 26GB 28Hr,60362
AXIS,KAVB5,Voucher Axis Aigo 40GB 28Hr,73230
AXIS,KAVM06,"Voucher Axis Aigo JatimBali 6,5GB 5Hr",15200
Smartfren,KMVV07,Voucher Smart Mini 1GB 3Hr,7000
Smartfren,KMVV06,Voucher Smart Mini 2GB 3Hr,12500
Smartfren,KMVV01,Voucher Smart Mini 4GB 3Hr,9800
Smartfren,KMVV05,Voucher Smart Mini 4GB 5Hr,14500
Smartfren,KMVV02,Voucher Smart Mini 2GB 7Hr,0
Smartfren,KMVV1,Voucher Smart Mini 6GB 7Hr,16000
Smartfren,KMVNS01,"Voucher Smart Uns 2,5GB 10Hr",13500
Smartfren,KMVV4,Voucher Volume 5GB 14Hr,0
Smartfren,KMVV09,Voucher Smart Uns 10GB 7Hr,19500
Smartfren,KMVN1,Voucher Smart Uns 10GB 28Hr,40300
Smartfren,KMVNS1,Voucher Smart Uns 24GB 28Hr,57500
Smartfren,KMVNS2,Voucher Smart Uns 30GB 28Hr,0
Smartfren,KMVNS3,Voucher Smart Uns 40GB 28Hr,75350
Smartfren,KMVU001,Voucher Smart Unl 1GB 7Hr,17800
Smartfren,KMVU00,Voucher Smart Unl 2GB 7Hr,24500
Smartfren,KMVU01,Voucher Smart Unl 3GB 7Hr,31500
Smartfren,KMVV08,Voucher Smart Unl 12GB 14Hr,29000
Smartfren,KMVU0,Voucher Smart Unl Lite 1GB 28Hr,66000
Smartfren,KMVU1,"Voucher Smart Unl Lite 1,5GB 28Hr",80000
Smartfren,KMVU2,Voucher Smart Unl Full,93500
Smartfren,KMVV04,Voucher Smart Uns 5GB 14Hr,20000
Smartfren,KMVV5,Voucher Smart Volume 7GB 30Hr,33500
Smartfren,KMVU4,Voucher Smart Unl 5GB 14Hr,0
By U,KBV01,Voucher By U 6GB 2Hr,7900
By U,KBV9,Voucher By U 7GB 28Hr,33550
By U,KBV10,Voucher By U 11GB 28Hr,42500
